slots;96;length;15
from;01.11;to;20.03
[W];Samstag;Sonntag;Werktage
0:15;87.8;96.0;78.2
0:30;83.0;91.8;74.8
0:45;79.7;89.9;72.0
1:00;77.7;84.2;70.4
1:15;75.5;80.7;68.8
1:30;71.9;76.9;68.3
1:45;70.4;74.8;67.4
2:00;71.2;75.3;66.9
2:15;70.9;73.7;67.5
2:30;70.0;73.9;67.6
2:45;70.3;75.1;69.3
3:00;74.4;76.9;72.6
3:15;75.6;78.6;73.7
3:30;75.9;79.1;74.9
3:45;75.0;78.8;74.8
4:00;75.2;78.6;76.1
4:15;77.0;79.3;77.1
4:30;77.3;77.7;79.2
4:45;80.1;79.2;82.4
5:00;80.0;79.9;84.5
5:15;79.7;81.1;92.3
5:30;81.8;80.8;98.1
5:45;82.8;80.1;108.5
6:00;85.2;80.3;130.5
6:15;86.1;81.9;140.4
6:30;88.0;82.6;146.6
6:45;92.8;86.3;147.7
7:00;98.4;92.4;146.2
7:15;108.8;98.4;143.8
7:30;116.2;99.2;138.0
7:45;126.8;112.1;134.9
8:00;147.7;123.8;134.3
8:15;155.7;136.6;133.9
8:30;176.4;158.4;136.9
8:45;178.2;174.0;132.9
9:00;175.3;179.1;132.6
9:15;175.8;187.4;131.7
9:30;184.6;191.6;129.7
9:45;190.0;194.6;127.4
10:00;193.3;202.7;125.7
10:15;186.8;209.1;124.3
10:30;189.0;211.4;123.3
10:45;191.6;219.5;122.4
11:00;194.2;215.0;121.8
11:15;209.7;228.1;125.4
11:30;223.7;243.4;132.4
11:45;225.1;253.5;135.8
12:00;226.8;254.4;133.8
12:15;210.5;235.6;129.8
12:30;200.9;220.3;129.7
12:45;192.9;199.7;126.6
13:00;186.3;196.1;124.3
13:15;178.2;179.1;122.7
13:30;166.2;176.5;121.3
13:45;165.1;175.0;119.9
14:00;164.2;166.6;119.0
14:15;158.4;160.4;119.5
14:30;154.0;153.1;122.5
14:45;152.8;156.1;121.2
15:00;152.4;154.1;124.7
15:15;151.0;155.2;125.5
15:30;155.6;155.2;128.2
15:45;154.1;155.0;130.0
16:00;153.6;156.3;135.6
16:15;159.7;156.3;141.6
16:30;167.2;163.7;148.5
16:45;178.8;177.0;160.3
17:00;184.6;179.7;169.3
17:15;196.6;196.2;181.3
17:30;206.1;203.5;190.6
17:45;213.9;213.7;200.2
18:00;226.0;223.5;206.5
18:15;229.1;229.4;210.6
18:30;226.7;223.0;210.4
18:45;225.7;228.7;213.6
19:00;217.8;232.3;215.1
19:15;219.4;234.0;216.9
19:30;213.9;228.8;213.5
19:45;207.3;222.7;209.3
20:00;204.5;221.3;205.0
20:15;200.8;214.6;199.8
20:30;193.2;195.2;193.1
20:45;182.7;182.3;182.3
21:00;174.2;177.1;172.4
21:15;165.5;169.1;165.3
21:30;157.4;158.8;158.4
21:45;152.7;150.3;150.5
22:00;150.3;147.6;144.2
22:15;141.0;136.9;132.9
22:30;132.5;127.5;126.0
22:45;128.0;120.8;115.6
23:00;125.5;112.5;105.6
23:15;117.5;101.5;97.4
23:30;111.9;95.8;91.6
23:45;107.9;89.6;86.6
0:00;101.8;86.6;82.8
slots;96;length;15
from;15.05;to;14.09
[W];Samstag;Sonntag;Werktage
0:15;72.1;77.6;59.6
0:30;69.9;73.5;57.1
0:45;66.0;70.2;54.9
1:00;62.8;67.0;53.0
1:15;59.6;63.9;51.7
1:30;56.8;61.0;50.2
1:45;56.1;58.1;49.3
2:00;54.8;56.8;48.7
2:15;54.9;55.2;48.8
2:30;54.2;54.1;48.5
2:45;53.4;54.2;48.3
3:00;53.1;53.1;48.2
3:15;53.0;53.2;48.6
3:30;51.7;52.3;48.1
3:45;51.5;52.1;48.1
4:00;52.1;52.7;49.0
4:15;52.0;52.2;49.6
4:30;52.3;52.2;51.7
4:45;52.8;51.5;52.9
5:00;53.8;53.0;53.0
5:15;55.5;54.8;58.6
5:30;56.3;55.4;63.1
5:45;58.3;55.2;72.3
6:00;59.7;57.3;80.5
6:15;62.3;58.6;86.5
6:30;67.2;60.3;89.5
6:45;70.5;62.4;89.2
7:00;76.8;66.0;90.1
7:15;83.8;73.7;88.0
7:30;92.6;79.8;89.4
7:45;104.4;91.0;93.0
8:00;117.8;101.9;95.9
8:15;127.1;116.0;97.3
8:30;137.2;128.6;98.0
8:45;138.1;140.9;97.5
9:00;140.5;146.7;94.8
9:15;143.7;148.7;94.2
9:30;143.2;149.0;93.4
9:45;141.9;154.4;92.1
10:00;143.3;153.2;92.6
10:15;144.5;157.1;92.9
10:30;142.4;156.3;92.9
10:45;142.9;154.3;92.5
11:00;146.1;159.6;93.2
11:15;150.8;169.6;97.1
11:30;159.9;182.0;101.8
11:45;167.5;188.1;105.4
12:00;169.7;190.4;105.0
12:15;164.9;181.4;100.4
12:30;153.5;165.3;98.0
12:45;146.0;152.5;95.7
13:00;142.2;147.5;94.2
13:15;136.7;139.5;91.6
13:30;128.6;132.4;88.2
13:45;128.7;129.4;88.7
14:00;122.0;124.1;88.3
14:15;120.0;121.6;88.0
14:30;117.7;116.3;89.0
14:45;112.5;115.9;88.2
15:00;115.2;114.4;88.8
15:15;115.0;113.4;89.1
15:30;114.7;112.4;89.3
15:45;114.3;110.1;89.2
16:00;111.4;105.8;90.4
16:15;110.6;103.6;91.9
16:30;109.8;104.0;92.3
16:45;111.2;102.8;93.5
17:00;113.2;103.9;96.7
17:15;113.2;104.2;98.9
17:30;117.4;109.8;102.8
17:45;119.1;116.9;106.8
18:00;124.9;120.0;112.3
18:15;134.8;123.2;115.1
18:30;132.8;127.0;119.8
18:45;133.0;130.6;122.2
19:00;132.8;133.8;124.6
19:15;135.1;131.2;125.9
19:30;132.8;135.4;126.7
19:45;130.2;137.8;127.8
20:00;131.2;137.2;126.9
20:15;128.0;132.7;128.4
20:30;126.4;131.3;127.0
20:45;122.8;126.8;126.1
21:00;122.4;125.2;122.5
21:15;121.0;121.2;120.5
21:30;118.5;117.5;117.3
21:45;114.7;112.1;114.5
22:00;114.6;112.1;111.2
22:15;113.0;104.2;106.9
22:30;110.5;99.7;102.0
22:45;107.9;93.1;96.2
23:00;104.3;87.6;88.7
23:15;96.8;80.8;82.0
23:30;92.9;74.5;75.3
23:45;87.8;68.4;70.3
0:00;82.0;62.7;65.8
slots;96;length;15
else;;;
[W];Samstag;Sonntag;Werktage
0:15;83.1;94.0;63.5
0:30;78.9;90.5;61.8
0:45;77.1;83.9;60.0
1:00;71.8;79.0;58.1
1:15;69.4;75.8;56.8
1:30;67.6;72.0;55.7
1:45;66.8;68.9;55.0
2:00;65.0;67.3;54.3
2:15;63.1;66.9;54.4
2:30;62.1;65.9;54.0
2:45;62.3;64.6;53.8
3:00;62.1;62.9;53.8
3:15;62.7;63.4;53.7
3:30;61.6;62.6;54.0
3:45;61.4;63.7;54.8
4:00;62.9;65.5;56.4
4:15;63.2;65.0;57.2
4:30;63.7;64.5;59.1
4:45;63.5;64.4;61.3
5:00;65.1;65.6;63.7
5:15;69.1;67.8;71.3
5:30;71.1;69.1;78.2
5:45;74.9;71.4;90.8
6:00;80.0;74.3;105.9
6:15;84.3;76.8;114.9
6:30;86.0;80.3;118.0
6:45;90.0;81.0;113.9
7:00;98.1;86.2;115.4
7:15;109.4;91.5;111.6
7:30;120.1;103.8;109.5
7:45;134.5;118.9;110.3
8:00;144.3;136.3;112.5
8:15;152.4;147.9;114.1
8:30;162.3;162.2;112.5
8:45;164.9;172.0;109.3
9:00;167.0;175.5;107.0
9:15;161.5;178.1;105.6
9:30;163.5;182.9;103.9
9:45;163.7;189.2;103.0
10:00;166.0;191.4;102.6
10:15;164.5;185.3;101.0
10:30;166.2;190.3;101.3
10:45;169.9;189.9;101.5
11:00;175.1;196.8;102.6
11:15;180.3;203.6;105.7
11:30;189.8;220.3;111.5
11:45;197.5;225.7;114.6
12:00;199.9;230.0;114.1
12:15;192.9;211.6;110.7
12:30;183.4;195.2;106.8
12:45;171.0;177.1;104.4
13:00;163.6;172.0;101.6
13:15;159.6;162.5;100.2
13:30;158.7;162.2;97.8
13:45;154.2;159.5;96.9
14:00;149.8;152.6;96.6
14:15;146.9;143.3;97.6
14:30;147.5;136.5;97.9
14:45;139.9;132.0;95.9
15:00;145.3;128.1;97.5
15:15;141.6;129.5;99.3
15:30;141.6;128.5;98.7
15:45;137.4;123.5;98.5
16:00;138.5;121.9;99.3
16:15;138.3;117.1;103.1
16:30;137.4;120.1;103.2
16:45;136.1;122.6;106.6
17:00;140.0;122.5;109.4
17:15;142.8;124.0;113.3
17:30;149.1;129.8;117.4
17:45;162.0;136.6;124.0
18:00;164.8;144.4;130.1
18:15;172.6;155.4;137.1
18:30;177.4;160.7;143.7
18:45;184.9;162.0;148.4
19:00;180.2;163.5;153.0
19:15;174.9;165.9;155.2
19:30;180.5;167.3;156.2
19:45;177.7;163.0;154.3
20:00;173.1;162.1;155.7
20:15;172.2;160.1;155.2
20:30;171.8;160.6;155.9
20:45;164.4;155.8;152.3
21:00;160.7;151.3;150.5
21:15;161.3;146.3;147.2
21:30;156.3;139.1;142.8
21:45;153.6;133.8;137.3
22:00;147.3;131.5;130.9
22:15;141.3;123.6;121.0
22:30;135.1;117.0;112.6
22:45;129.3;108.3;104.6
23:00;124.4;98.3;96.0
23:15;118.1;87.5;87.3
23:30;112.5;80.1;81.0
23:45;104.5;75.1;76.0
0:00;100.0;71.2;71.6
